Frec max ch1,Frec max ch2,Frec max ch3,Frec max ch4,label
15.8,13.8,15.8,15.8,1.0
15.8,24.2,15.8,15.8,1.0
15.8,15.8,14.4,15.8,1.0
15.8,15.8,14.4,15.8,1.0
14.4,14.4,14.4,15.8,1.0
24.0,14.4,18.2,18.2,1.0
14.4,16.7,14.4,13.1,1.0
14.4,16.2,13.1,13.1,1.0
14.4,16.2,12.7,14.4,99.0
14.4,14.4,14.4,14.4,99.0
14.4,13.3,14.4,14.4,99.0
15.8,14.4,14.4,14.4,99.0
15.8,14.4,14.4,14.4,99.0
15.8,24.2,13.3,13.3,2.0
15.8,14.7,13.3,13.3,2.0
16.0,14.7,14.7,14.7,2.0
20.4,20.9,19.1,16.4,2.0
13.1,16.4,14.4,13.1,2.0
13.6,13.6,16.7,13.6,2.0
13.6,13.6,16.7,13.6,2.0
13.6,13.6,13.6,13.6,2.0
13.6,18.2,13.6,13.6,2.0
18.9,18.2,18.2,13.6,2.0
13.6,13.6,13.6,12.9,2.0
17.6,12.7,16.2,17.6,2.0
14.0,12.7,12.7,12.7,2.0
19.1,14.0,12.7,14.0,2.0
14.0,14.0,16.0,14.0,2.0
14.0,14.0,16.0,14.0,99.0
18.9,16.2,16.2,16.2,99.0
17.3,17.3,16.0,17.3,99.0
20.7,15.3,16.0,16.9,99.0
16.9,14.2,16.9,16.9,99.0
16.9,14.2,16.9,16.9,1.0
16.9,16.0,16.9,18.4,1.0
17.6,14.4,14.0,17.1,1.0
14.2,13.3,13.3,17.1,1.0
16.7,15.8,14.7,17.1,1.0
14.2,13.3,25.1,13.8,1.0
14.2,13.8,12.4,14.2,1.0
16.9,13.3,13.3,13.3,1.0
15.1,13.8,13.8,15.1,1.0
15.1,15.1,15.1,15.1,1.0
13.8,13.8,13.8,15.1,1.0
18.0,13.8,13.3,13.3,1.0
20.9,13.8,18.2,15.8,1.0
15.1,15.1,24.9,15.1,1.0
15.1,15.1,15.1,15.1,99.0
