12.5,16.5,25.0,33.0,label
177.5,64.9,-283.2,-183.6,99.0
-2.2,75.6,-439.4,-236.0,99.0
-110.3,118.5,-401.1,-221.6,99.0
-34.2,80.0,-457.4,-218.3,99.0
118.7,16.5,-217.0,-241.2,99.0
188.3,88.1,110.4,-220.3,99.0
94.0,158.3,167.0,-207.7,99.0
-97.2,80.5,183.6,-239.1,99.0
-117.5,-54.9,210.2,-208.2,99.0
-117.6,-41.0,-140.4,-56.5,99.0
-67.9,-20.9,-135.5,-5.2,99.0
-27.9,133.2,-50.4,-78.3,99.0
-157.6,29.0,23.3,-35.9,99.0
-275.6,-122.8,133.2,-33.8,99.0
-257.8,-256.1,-26.1,43.6,99.0
-38.8,-175.4,-121.8,106.0,99.0
166.0,-120.8,-21.0,-17.1,99.0
198.9,-88.1,61.4,-21.1,99.0
169.6,-141.8,-132.0,-116.8,99.0
-137.9,-332.1,-6.6,28.9,99.0
-152.3,-277.5,83.4,44.8,99.0
-106.4,-348.1,-11.2,-1.3,99.0
-57.1,-343.4,-57.2,-0.7,99.0
97.2,-74.4,-63.5,-97.7,99.0
-24.6,-69.2,-105.9,-164.5,99.0
-80.7,3.0,-79.5,43.3,99.0
-166.7,69.5,27.5,56.5,99.0
-247.0,244.5,77.1,91.6,99.0
-465.4,183.1,79.8,96.2,99.0
-637.0,122.5,52.5,34.9,99.0
207.7,475.6,-445.6,46.9,99.0
92.1,761.6,-461.7,-30.3,99.0
60.3,1031.8,-516.3,23.2,99.0
213.8,1034.6,-293.4,-268.5,99.0
174.8,553.6,102.2,-373.8,99.0
-32.6,197.2,47.0,1.1,99.0
-168.3,92.3,13.6,-13.7,99.0
-125.0,23.3,-138.4,-25.6,99.0
41.1,140.2,-91.2,-68.8,99.0
-196.2,-218.5,-94.2,-110.8,99.0
-440.1,-250.0,89.9,-102.9,99.0
98.0,-117.1,84.6,-164.7,99.0
-188.9,-234.1,112.2,-71.7,99.0
-144.4,-380.0,44.8,-210.2,99.0
-206.2,-500.2,39.1,-41.2,99.0
-101.7,-859.5,-351.1,-40.9,99.0
-71.2,-808.0,-343.2,85.6,99.0
-127.2,-925.2,-294.3,-29.4,99.0
-154.4,-745.4,-21.3,13.1,99.0
62.9,-779.7,692.1,35.3,99.0
151.4,-847.3,530.8,39.3,99.0
100.8,394.1,607.3,522.7,99.0
315.8,-117.2,538.2,193.5,99.0
262.6,27.0,282.9,-64.5,99.0
138.8,-30.6,317.0,-21.3,99.0
126.6,-221.4,285.0,179.0,99.0
120.6,305.6,188.1,207.7,99.0
114.5,65.8,229.6,94.7,99.0
-77.4,318.4,-388.7,-29.6,99.0
9.6,316.0,-388.4,-19.0,99.0
3.7,27.5,115.8,28.9,99.0
-56.2,-91.8,209.0,51.8,99.0
-28.5,39.7,99.8,19.0,99.0
33.3,10.1,87.3,49.6,99.0
-32.1,268.0,95.7,42.4,99.0
-11.3,10.3,167.8,95.2,99.0
335.5,-24.9,174.4,149.3,99.0
66.4,61.0,207.0,155.0,99.0
326.5,-95.1,3.6,78.3,99.0
328.7,-160.1,-137.0,-32.6,99.0
274.1,-29.4,-291.1,-28.6,99.0
215.6,-7.1,-311.4,50.2,99.0
176.0,37.2,-24.0,41.6,99.0
360.2,393.0,40.2,-14.0,99.0
86.9,300.8,-98.3,-32.6,99.0
-306.0,189.4,-78.2,-42.0,99.0
-24.6,140.8,-154.4,70.4,99.0
105.4,-126.4,-33.4,-40.4,99.0
307.4,-105.0,19.0,37.5,99.0
204.2,-150.1,-39.0,110.9,99.0
342.0,-42.6,-112.0,132.4,99.0
560.0,171.3,20.8,4.6,99.0
353.4,287.2,-49.2,-18.8,99.0
274.4,119.2,-45.2,-163.4,99.0
218.0,56.3,74.1,-43.0,99.0
192.1,-191.0,96.2,-84.8,99.0
-66.3,-409.0,-29.4,55.6,99.0
-85.3,-270.0,35.3,39.4,99.0
143.7,55.0,-50.6,-95.0,99.0
-126.0,285.7,26.4,-219.8,99.0
-40.0,170.5,16.1,-229.7,99.0
82.1,231.5,111.8,-9.5,99.0
164.4,229.1,-166.5,-26.7,99.0
75.6,238.9,-46.8,-80.3,99.0
-1.0,44.4,29.4,118.6,99.0
377.4,-203.0,173.6,-58.9,99.0
215.7,-41.5,28.8,-127.9,99.0
-130.5,-69.5,-3.8,-92.0,99.0
-652.9,24.2,-124.1,-291.2,99.0
-712.6,-40.8,-11.9,-44.3,99.0
-318.3,-267.1,73.5,-120.9,99.0
221.3,-445.0,115.9,-164.5,99.0
131.2,153.1,-103.7,-127.9,99.0
97.6,50.2,-125.1,19.6,99.0
130.3,152.6,8.7,285.6,99.0
101.2,236.0,-34.5,266.6,99.0
232.4,325.0,39.0,72.8,99.0
171.4,226.5,119.0,1.1,99.0
247.4,107.5,113.9,-31.9,99.0
373.4,113.1,36.3,-39.6,99.0
529.1,-255.8,110.8,21.7,99.0
201.3,257.7,-65.4,41.7,99.0
-54.1,338.0,17.5,-20.3,99.0
-41.0,450.6,22.7,-95.3,99.0
7.9,296.8,-24.1,-42.0,99.0
-99.0,-19.9,120.5,-68.3,99.0
-117.9,-176.2,149.0,-27.8,99.0
-119.4,-9.7,102.3,51.0,99.0
-156.6,-27.0,40.7,41.0,99.0
4.1,151.1,15.8,35.9,99.0
-106.8,171.4,46.6,73.7,99.0
-95.2,-58.9,-183.2,29.5,99.0
127.4,-48.4,-168.5,28.1,99.0
45.0,16.5,-195.6,-19.8,99.0
